make,mileage,price,body_type,drivetrain,transmission,fuel_type,passengers,is_private,car_age
CHEVROLET,18672.0,10.518538047359652,HATCHBACK,FWD,Automatic,Electric,5.0,0,2
NISSAN,135000.0,8.516192691082654,SUV,FWD,Automatic,Gas,5.0,0,14
VOLKSWAGEN,47340.0,10.038368034729944,SEDAN,FWD,Automatic,Gas,5.0,0,3
MAZDA,80675.0,9.90323752128092,SUV,AWD,Automatic,Gas,5.0,0,6
MAZDA,17570.0,10.03258412587054,SUV,FWD,Automatic,Gas,5.0,0,2
NISSAN,87464.0,9.79784922051313,SEDAN,FWD,CVT,Gas,5.0,0,6
INFINITI,104700.0,9.104979856318357,SEDAN,RWD,Automatic,Gas,5.0,1,16
HYUNDAI,17790.0,9.647304147143718,SEDAN,FWD,Automatic,Gas,5.0,0,4
CHEVROLET,29767.0,9.615005159913578,SEDAN,FWD,Automatic,Gas,5.0,0,5
HONDA,23139.0,10.253792249467017,SUV,AWD,CVT,Regular Unleaded,5.0,0,3
HONDA,260000.0,8.160232492367689,SEDAN,FWD,Manual,Gas,5.0,0,14
TOYOTA,105836.0,9.38429367909962,SEDAN,FWD,CVT,Gas,5.0,0,6
AUDI,168000.0,9.680281499268713,COUPE,AWD,Automatic,Gas,4.0,1,13
MITSUBISHI,44134.0,9.99857043378282,SUV,AWD,Automatic,Gas,5.0,0,2
JEEP,98923.0,10.429546556942707,SUV,AWD,Automatic,Gas,5.0,0,5
ACURA,75894.0,9.998752276761907,SEDAN,FWD,Automatic,Gas,5.0,0,5
FORD,163332.0,9.61547209118311,TRUCK,RWD,Automatic,Gas,5.0,0,11
VOLVO,36280.0,11.018612749578452,SUV,AWD,Automatic,Gas,7.0,0,3
CADILLAC,42933.0,10.337604903217455,SUV,AWD,Automatic,Gas,5.0,0,5
INFINITI,169800.0,9.769956159911606,SUV,AWD,CVT,Gas,5.0,0,8
MAZDA,41367.0,10.152181884694343,SUV,AWD,Automatic,Gas,5.0,0,5
MAZDA,116000.0,9.64859530290734,HATCHBACK,FWD,Automatic,Gas,5.0,1,6
ACURA,75649.0,10.126231023828998,SUV,AWD,Automatic,Gas,5.0,0,5
NISSAN,11545.0,9.615071877730596,SEDAN,FWD,Automatic,Gas,5.0,0,3
HONDA,169000.0,9.64859530290734,SEDAN,FWD,Automatic,Gas,5.0,1,5
JEEP,148659.0,10.06475570013225,SUV,AWD,Automatic,Diesel,5.0,0,8
RAM,230000.0,10.545341438708522,TRUCK,AWD,Automatic,Diesel,5.0,1,8
HYUNDAI,105814.0,9.51708950714519,SEDAN,FWD,Automatic,Gas,5.0,0,4
VOLKSWAGEN,26693.0,10.068705336846714,SEDAN,FWD,Automatic,Gas,5.0,0,2
FORD,43087.0,9.47262771040802,SEDAN,FWD,Automatic,Gas,5.0,0,8
DODGE,166873.0,8.823942326585245,SUV,FWD,Automatic,Gas,5.0,0,11
BMW,35326.0,10.367064323701507,COUPE,AWD,Automatic,Gas,4.0,0,5
ACURA,64372.0,10.134519905270576,SUV,AWD,Automatic,Gas,5.0,0,5
TOYOTA,129000.0,8.294049640102028,SEDAN,FWD,Automatic,Gas,5.0,1,19
FORD,115000.0,9.680344001221918,COUPE,RWD,Manual,Gas,4.0,1,21
SUBARU,23015.0,10.15766454643051,SUV,AWD,CVT,Gas,5.0,0,3
JEEP,58500.0,10.292145542327912,SUV,AWD,Automatic,Gas,5.0,1,4
VOLKSWAGEN,41569.0,10.203406942652387,SUV,AWD,Automatic,Gas,5.0,0,2
CHRYSLER,105552.0,9.927594627879362,SEDAN,RWD,Automatic,Gas,5.0,0,5
LEXUS,30267.0,11.002016504398489,SUV,AWD,CVT,Gas Hybrid,6.0,0,3
TOYOTA,61099.0,9.993328256535918,SUV,AWD,Automatic,Gas,5.0,0,5
HONDA,28426.0,10.21833478806055,MINIVAN,FWD,Automatic,Gas,7.0,0,5
JEEP,22080.0,10.308785980087194,SUV,AWD,Automatic,Gas,5.0,0,3
BMW,55885.0,10.566175525611364,SUV,AWD,Automatic,Premium Unleaded,5.0,0,4
NISSAN,43628.0,9.671177113397102,SEDAN,FWD,CVT,Gas,5.0,0,3
HONDA,26921.0,9.998343083548807,SEDAN,FWD,Automatic,Gas,5.0,0,2
